Citra,LuasInti,KelilingInti,SolidityInti,GranularityInti,CircularityInti,RerataRInti,RerataGInti,RerataBInti,EntropiInti,EnergiInti,KontrasInti,HomogenitasInti,LuasSitoplasma,KelilingSitoplasma,SoliditySitoplasma,GranularitySitoplasma,CircularitySitoplasma,RerataRSitoplasma,RerataGSitoplasma,RerataBSitoplasma,EntropiSitoplasma,EnergiSitoplasma,KontrasSitoplasma,HomogenitasSitoplasma,LuasNormalInti,KelilingNormalInti,Eccentricity,LIperLP ,KIperKP
Monosit,253636,6927,0.313264,101.646461,0.066425,92.422623,4.087465,65.402306,1.32809,0.299423,40.694695,0.820519,365251,19713,0.303493,82.886215,0.011811,41.188103,29.670525,35.138382,0.771594,0.632162,297.570831,0.900399,0.453555,2.307462,0.805849,0.694416,0.351392
Monosit,151889,7260,0.309512,98.415207,0.036213,70.917732,5.709402,50.442974,1.154601,0.429723,61.276943,0.843087,241012,8481,0.286975,84.123283,0.042107,42.127384,26.916904,34.73893,0.777302,0.631681,195.004608,0.899786,0.342772,2.700893,0.920708,0.630213,0.856031
Monosit,236069,6150,0.321478,101.404564,0.078433,106.746155,3.56214,73.179466,1.434907,0.225716,48.934013,0.810743,321445,10776,0.322422,81.237274,0.034786,39.054031,25.670671,33.407791,0.742401,0.647913,214.19426,0.901954,0.527486,2.298206,0.847725,0.734399,0.570713
Monosit,177735,5790,0.308589,103.638977,0.066623,119.163734,11.16097,87.101318,1.821472,0.182808,74.590744,0.706234,222501,8412,0.324141,72.094406,0.039513,29.26598,20.093887,25.716549,0.601259,0.724058,267.796906,0.917673,0.570829,2.594086,0.827016,0.798805,0.688302
Metamielosit,94654,3426,0.319145,104.338982,0.101338,73.524231,2.822284,47.645718,1.074558,0.443824,40.354691,0.862642,144041,5175,0.323861,83.671394,0.067589,38.242611,24.044464,30.96953,0.71138,0.676996,193.72789,0.906508,0.332645,1.605436,0.463808,0.657132,0.662029
Metamielosit,116678,4170,0.322004,98.742355,0.084319,82.178093,2.109092,51.265064,1.251691,0.345828,38.627842,0.838076,192253,7935,0.320954,89.541748,0.03837,53.605732,35.622124,46.219891,0.996167,0.53129,227.223236,0.862332,0.410745,1.95591,0.380709,0.606898,0.52552
Metamielosit,114145,5049,0.313757,101.683815,0.056267,89.786392,1.21217,48.571953,1.263245,0.312408,32.734188,0.838089,175121,4617,0.326112,87.703468,0.103235,48.407906,22.485641,35.692425,0.974778,0.577944,159.034668,0.855079,0.439723,2.477429,0.527244,0.651806,1.093567
Metamielosit,33831,2118,0.322763,109.450012,0.09477,95.546104,2.596036,69.497437,1.317241,0.317849,94.326347,0.799744,48071,2724,0.323527,84.496025,0.08141,39.716328,24.995661,35.740585,0.80409,0.655233,409.526001,0.865892,0.433114,1.891071,0.453299,0.703772,0.777533
Metamielosit,36841,2796,0.309297,102.638802,0.05922,79.564095,2.679626,51.762157,1.262556,0.384447,76.287544,0.807307,57031,4506,0.306036,87.823357,0.035297,44.643497,26.77211,36.896828,0.901279,0.616341,426.980896,0.857031,0.376439,2.226115,0.492998,0.645982,0.620506
Metamielosit,59613,3258,0.325013,99.59948,0.070575,72.410149,1.462691,43.173611,1.144939,0.423076,47.706467,0.838314,112794,5637,0.315512,99.250107,0.044607,66.352943,38.678375,54.207813,1.235254,0.467565,315.634735,0.802378,0.346975,1.965018,0.49922,0.528512,0.577967
Metamielosit,89573,3282,0.323264,98.013588,0.104498,78.737061,2.372879,50.97691,1.194559,0.366409,32.425949,0.835775,152613,6183,0.323146,89.055984,0.050165,54.934132,34.54591,44.594509,1.040685,0.515259,210.442993,0.849496,0.393287,1.716527,0.578879,0.586929,0.53081
Metamielosit,78023,4551,0.299932,88.829025,0.047339,57.667217,1.410275,34.110806,0.948354,0.490759,33.380749,0.877978,133786,6834,0.293448,80.183388,0.035997,41.553478,24.080774,32.342651,0.873077,0.611379,203.009232,0.874232,0.29753,2.22,0.523619,0.583193,0.665935
Metamielosit,100484,3981,0.323283,92.849915,0.079675,70.119453,2.038792,41.137352,1.144843,0.401561,30.047329,0.855111,188174,10254,0.31431,90.130692,0.02249,61.183144,42.075508,52.540741,1.164194,0.455879,279.031036,0.837352,0.364675,1.895714,0.421837,0.533995,0.388239
Metamielosit,117032,9630,0.301816,96.245461,0.015858,79.713448,5.188456,58.44379,1.323885,0.345883,71.443909,0.797319,208898,8280,0.322472,89.802284,0.03829,61.325191,41.19173,52.632298,1.197501,0.451606,281.738647,0.832969,0.40801,4.47907,0.460338,0.560235,1.163043
Metamielosit,117725,5097,0.31646,93.432678,0.056944,81.607315,3.034746,50.251045,1.317199,0.318084,32.48592,0.828721,191389,6972,0.322303,82.08371,0.049478,49.614307,33.193085,42.533722,1.030766,0.52219,204.738693,0.862883,0.434605,2.448127,0.753165,0.615108,0.731067
Metamielosit,149530,5538,0.318295,95.916382,0.061268,97.895882,4.131928,63.792416,1.500194,0.237281,37.229538,0.789435,215633,5991,0.327591,79.619392,0.075496,42.786655,28.04406,35.73592,0.878969,0.591597,161.930771,0.883259,0.511942,2.561517,0.768842,0.693447,0.924387
